Class Name,Class Status,Class Characteristic,Attribute/Relationship Name,Attribute/Relationship Status,Attribute/Relationship Characteristic,Old Value,New Value
Abbreviation,Modified,Attributes/Relationships,abbreviatedText,Modified,Preferred Term,Abbreviation,Text Abbreviation Value
Abbreviation,Modified,Attributes/Relationships,abbreviatedText,Modified,NCI C-Code,C42610,CNEW
Abbreviation,Modified,Attributes/Relationships,abbreviatedText,Modified,Definition,A set of letters that are drawn from a word or from a sequence of words and that are used for brevity in place of the full word or phrase. (CDISC Glossary),"The literal value of an instance of unstructured text that is used as the abbreviation.
"
StudyDefinitionDocumentVersion,Modified,Attributes/Relationships,version,Modified,Preferred Term,Study Definition Document Version,Study Definition Document Version Identifier
StudyDefinitionDocumentVersion,Modified,Attributes/Relationships,version,Modified,Definition,A representation of a particular edition or snapshot of the study definition document as it exists at a particular point in time.,A sequence of characters used to identify the version of the study definition document.
ResponseCode,Modified,Attributes/Relationships,code,Modified,Preferred Term,Code,Response Code Value
ResponseCode,Modified,Attributes/Relationships,code,Modified,NCI C-Code,C25162,CNEW
ResponseCode,Modified,Attributes/Relationships,code,Modified,Definition,A symbol or combination of symbols which is assigned to the members of a collection.,The literal value of a response code.
StudyArm,Modified,Attributes/Relationships,type,Modified,NCI C-Code,C188827,C172457
